doi,title,first_author_year,authors,venue,year,source_url
10.1103/PhysRevLett.84.5102,Direct Link between Microwave and Optical Frequencies with a 300 THz Femtosecond Laser Comb,diddams2000,"Scott A. Diddams, David J. Jones, Jun Ye, Steven T. Cundiff, John L. Hall, Jinendra K. Ranka, Robert S. Windeler, Ronald Holzwarth, Thomas Udem, T. W. Hänsch",Physical Review Letters,2000,https://jila.colorado.edu/yelab/publications
10.1103/PhysRevLett.85.3797,Accuracy Comparison of Absolute Optical Frequency Measurement between Harmonic-Generation Synthesis and a Frequency-Division Femtosecond Comb,ye2000,"Jun Ye, T. H. Yoon, John L. Hall, Aleksandr A. Madej, Joseph E. Bernard, Krzysztof J. Siemsen, Louis Marmet, Jean-Marie Chartier, Arie Chartier",Physical Review Letters,2000,https://jila.colorado.edu/yelab/publications
10.1103/RevModPhys.75.325,Colloquium: Femtosecond optical frequency combs,cundiff2003,"Steven T. Cundiff, Jun Ye",Reviews of Modern Physics,2003,https://jila.colorado.edu/yelab/publications
10.1126/science.1105660,United Time-Frequency Spectroscopy for Dynamics and Global Structure,marian2004,"A. Marian, M. C. Stowe, J. R. Lawall, D. Felinto, Jun Ye",Science,2004,https://jila.colorado.edu/yelab/publications
10.1103/PhysRevA.71.023801,High-stability transfer of an optical frequency over long fiber-optic cables,boyd2005,"M. M. Boyd, A. D. Ludlow, S. Blatt, S. M. Foreman, T. Zelevinsky, M. Notcutt, T. Ido, Jun Ye",Physical Review A,2005,https://jila.colorado.edu/yelab/publications
10.1103/PhysRevLett.94.193201,Phase-Coherent Frequency Combs in the Vacuum Ultraviolet via High-Harmonic Generation inside a Femtosecond Enhancement Cavity,jones2005,"R. Jason Jones, Kevin D. Moll, Michael J. Thorpe, Jun Ye",Physical Review Letters,2005,https://jila.colorado.edu/yelab/publications
10.1364/OL.34.001330,Direct Frequency Comb Spectroscopy,adler2009,"Florian Adler, Michael J. Thorpe, Kevin C. Cossel, Michael S. Kirchner, Jun Ye",Optics Letters,2009,https://jila.colorado.edu/yelab/publications
10.1088/1367-2630/11/5/055049,"Cold and ultracold molecules: science, technology and applications",carr2009,"Lincoln D. Carr, David DeMille, Roman V. Krems, Jun Ye",New Journal of Physics,2009,https://jila.colorado.edu/yelab/publications
10.1038/nature12941,An optical lattice clock with accuracy and stability at the 10^−18 level,bloom2014,"B. J. Bloom, T. L. Nicholson, J. R. Williams, S. L. Campbell, M. Bishof, X. Zhang, W. Zhang, S. L. Bromley, Jun Ye",Nature,2014,https://jila.colorado.edu/yelab/publications
10.1038/ncomms7896,Systematic evaluation of an atomic clock at 2 × 10^−18 total uncertainty,nicholson2015,"T. L. Nicholson, S. L. Campbell, R. B. Hutson, G. E. Marti, B. J. Bloom, R. L. McNally, W. Zhang, M. D. Barrett, M. S. Safronova, G. F. Strouse, W. L. Tew, Jun Ye",Nature Communications,2015,https://jila.colorado.edu/yelab/publications
10.1016/j.crhy.2015.03.008,Progress on the optical lattice clock,ludlow2015,"Andrew D. Ludlow, Jun Ye",Comptes Rendus Physique,2015,https://jila.colorado.edu/yelab/publications
10.1088/1681-7575/ab4089,JILA SrI Optical Lattice Clock with Uncertainty of 2.0 × 10^−18,bothwell2019,"Tobias Bothwell, Dhruv Kedar, Eric Oelker, John M. Robinson, Sarah L. Bromley, Weston L. Tew, Jun Ye, Colin J. Kennedy",Metrologia,2019,https://jila.colorado.edu/yelab/publications
10.1038/s41566-019-0493-4,Optical clock intercomparison with 6 × 10^−19 precision in one hour,oelker2019,"E. Oelker, R. B. Hutson, C. J. Kennedy, L. Sonderhouse, T. Bothwell, A. Goban, D. Kedar, C. Sanner, J. M. Robinson, G. E. Marti, D. G. Matei, T. Legero, M. Giunta, R. Holzwarth, F. Riehle, U. Sterr, Jun Ye",Nature Photonics,2019,https://jila.colorado.edu/yelab/publications
10.1126/science.aba3628,Optical clocks and the redefinition of the second,diddams2020,"Scott A. Diddams, Andrew D. Ludlow, Jun Ye",Science,2020,https://jila.colorado.edu/yelab/publications
10.1038/s41586-021-03436-9,Frequency ratio measurements at 18-digit accuracy using an optical clock network,bacon2021,Boulder Atomic Clock Optical Network (BACON) Collaboration,Nature,2021,https://jila.colorado.edu/yelab/publications
10.1103/PhysRevLett.127.263201,High Phase-Space Density of Laser-Cooled Molecules in an Optical Lattice,wu2021,"Yewei Wu, Justin Burau, Kameron Mehling, Jun Ye, Shiqian Ding",Physical Review Letters,2021,https://jila.colorado.edu/yelab/publications
10.1038/s41586-021-04349-3,Resolving the gravitational redshift across a millimetre-scale atomic sample,bothwell2022,"Tobias Bothwell, Colin J. Kennedy, Alexander Aeppli, Dhruv Kedar, John M. Robinson, Eric Oelker, Asher Staron, Jun Ye",Nature,2022,https://jila.colorado.edu/yelab/publications
10.1126/sciadv.adc9242,Tuning out disorder-induced decoherence in the S01 → P03 optical clock transition of fermionic calcium-40,aeppli2022,"Alexander Aeppli, Kyungtae Kim, William Warfield, Murray J. Holland, Jun Ye",Science Advances,2022,https://jila.colorado.edu/yelab/publications
10.1103/PhysRevLett.130.113203,Evaluation of Lattice Light Shift at Low 10^−19 Uncertainty for a Shallow Lattice Sr Optical Clock,kim2023,"Kyungtae Kim, Alexander Aeppli, Tobias Bothwell, Jun Ye",Physical Review Letters,2023,https://jila.colorado.edu/yelab/publications
10.1126/science.adg8294,Ergodicity breaking in rapidly rotating C60 fullerenes,segura2023,"Javier Segura, Mark Sherburn, Jun Ye, Gábor Halászi, Javier Morrone",Science,2023,https://jila.colorado.edu/yelab/publications
