doi,title,first_author_year,authors,venue,year,source_url
10.1109/PROC.1966.4634,Statistics of Atomic Frequency Standards,allan1966,David W. Allan,Proceedings of the IEEE,1966,https://www.nist.gov/pml/time-and-frequency-division/publications
,Should the classical variance be used as a basic measure in standards metrology?,allan1987,David W. Allan,IEEE Transactions on Instrumentation and Measurement,1987,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1109/TUFFC.2016.2524687,A Historical Perspective on the Development of the Allan Variances and their Strengths and Weaknesses,allan2016,"David W. Allan, Judah Levine","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",2016,https://www.nist.gov/pml/time-and-frequency-division/publications
10.6028/NBS.TN.679,Frequency Domain Stability Measurements: A Tutorial Introduction,howe1976,David A. Howe,NBS Technical Note 679,1976,https://www.nist.gov/pml/time-and-frequency-division/publications
,Properties of Signal Sources and Measurement Methods,howe1981,"David A. Howe, David W. Allan, James A. Barnes",Proceedings of 35th Annual Symposium on Frequency Control,1981,https://www.nist.gov/pml/time-and-frequency-division/publications
10.6028/NIST.TN.1337,Characterization of Clocks and Oscillators,sullivan1990,"D. B. Sullivan, D. W. Allan, D. A. Howe, F. L. Walls",NIST Technical Note 1337,1990,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1109/FREQ.2003.1275106,Frequency-Domain Stability Measures and Their Time-Domain Equivalents,howe2003,"David A. Howe, T. K. Peppler",Proceedings of the 2003 IEEE International Frequency Control Symposium and PDA Exhibition,2003,https://www.nist.gov/pml/time-and-frequency-division/publications
,Handbook of Frequency Stability Analysis,riley2008,"William J. Riley, David A. Howe",NIST Special Publication 1065,2008,https://www.nist.gov/pml/time-and-frequency-division/publications
10.6028/jres.106.004,Primary Atomic Frequency Standards at NIST,sullivan2001,"D. B. Sullivan, J. C. Bergquist, J. J. Bollinger, R. E. Drullinger, W. M. Itano, S. R. Jefferts, W. D. Lee, D. Meekhof, T. E. Parker, F. L. Walls, D. J. Wineland",Journal of Research of NIST,2001,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1126/science.1154622,Frequency Ratio of Al+ and Hg+ Single-Ion Optical Clocks; Metrology at the 17th Decimal Place,rosenband2008,"T. Rosenband, D. B. Hume, P. O. Schmidt, C. W. Chou, A. Brusch, L. Lorini, W. H. Oskay, R. E. Drullinger, T. M. Fortier, J. E. Stalnaker, S. A. Diddams, W. C. Swann, N. R. Newbury, W. M. Itano, D. J. Wineland, J. C. Bergquist",Science,2008,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1126/science.1153341,Sr Lattice Clock at 1 × 10^−16 Fractional Uncertainty by Remote Optical Evaluation with a Ca Clock,ludlow2008,"Andrew D. Ludlow, T. Zelevinsky, G. K. Campbell, S. Blatt, M. M. Boyd, M. H. G. de Miranda, M. J. Martin, J. W. Thomsen, S. M. Foreman, Jun Ye, T. M. Fortier, J. E. Stalnaker, S. A. Diddams, Y. Le Coq, Z. W. Barber, N. Poli, N. D. Lemke, K. M. Beck, C. W. Oates",Science,2008,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1088/0026-1394/42/5/012,NIST-F1: Recent Improvements and Accuracy Evaluations,heavner2005,"T. P. Heavner, S. R. Jefferts, E. A. Donley, J. H. Shirley, T. E. Parker",Metrologia,2005,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1103/PhysRevLett.97.020801,Single-Atom Optical Clock with High Accuracy,oskay2006,"W. H. Oskay, S. A. Diddams, E. A. Donley, T. M. Fortier, T. P. Heavner, L. Hollberg, W. M. Itano, S. R. Jefferts, M. J. Delaney, K. Kim, F. Levi, T. E. Parker, J. C. Bergquist",Physical Review Letters,2006,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1364/JOSAB.27.000B51,The Evolving Optical Frequency Comb,diddams2010,Scott A. Diddams,Journal of the Optical Society of America B,2010,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1038/nphoton.2011.121,Generation of Ultrastable Microwaves via Optical Frequency Division,fortier2011,"Tara M. Fortier, Matthew S. Kirchner, Franklyn Quinlan, Jennifer Taylor, Jason C. Bergquist, Till Rosenband, Neil Lemke, Andrew Ludlow, Yanyi Jiang, Christopher W. Oates, Scott A. Diddams",Nature Photonics,2011,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1103/RevModPhys.87.637,Optical Atomic Clocks,ludlow2015,"Andrew D. Ludlow, Martin M. Boyd, Jun Ye, Ekkehard Peik, Piet O. Schmidt",Reviews of Modern Physics,2015,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1038/nphoton.2016.107,Optical Atomic Clocks,diddams2016,"Scott A. Diddams, Tara M. Fortier, Andrew D. Ludlow",Nature Photonics,2016,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1038/s42005-019-0249-y,20 Years of Developments in Optical Frequency Comb Technology and Applications,fortier2019,"Tara Fortier, Esther Baumann",Communications Physics,2019,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1126/science.aay3676,Optical Frequency Combs: Coherently Uniting the Electromagnetic Spectrum,diddams2020b,"Scott A. Diddams, Kerry Vahala, Thomas Udem",Science,2020,https://www.nist.gov/pml/time-and-frequency-division/publications
10.1126/science.aba3628,Optical Clocks and the Redefinition of the Second,diddams2020,"Scott A. Diddams, Andrew D. Ludlow, Jun Ye",Science,2020,https://www.nist.gov/pml/time-and-frequency-division/publications
